Northern Hemisphere Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Anomaly
185001,-0.13
185002,-0.07
185003,-0.11
185004,-0.21
185005,-0.09
185006,-0.03
185007,-0.08
185008,-0.11
185009,-0.10
185010,-0.06
185011,0.01
185012,0.02
185101,-0.05
185102,-0.05
185103,-0.07
185104,-0.10
185105,-0.02
185106,-0.05
185107,0.05
185108,0.00
185109,0.07
185110,0.17
185111,0.20
185112,0.21
185201,0.10
185202,0.06
185203,-0.05
185204,-0.13
185205,0.09
185206,0.13
185207,0.21
185208,0.25
185209,0.17
185210,0.20
185211,0.26
185212,0.22
185301,0.33
185302,0.24
185303,0.23
185304,0.17
185305,0.12
185306,0.18
185307,0.09
185308,0.07
185309,0.00
185310,0.05
185311,0.07
185312,0.02
185401,0.01
185402,0.04
185403,0.17
185404,0.13
185405,0.09
185406,-0.04
185407,0.08
185408,0.08
185409,0.12
185410,0.19
185411,0.11
185412,0.24
185501,0.11
185502,0.08
185503,0.16
185504,0.17
185505,0.07
185506,0.05
185507,-0.01
185508,-0.07
185509,0.06
185510,0.28
185511,0.32
185512,0.13
185601,0.14
185602,0.02
185603,-0.02
185604,0.06
185605,0.03
185606,0.01
185607,-0.28
185608,-0.24
185609,-0.16
185610,-0.30
185611,-0.41
185612,-0.43
185701,-0.18
185702,-0.04
185703,-0.11
185704,-0.18
185705,-0.17
185706,-0.15
185707,-0.09
185708,-0.10
185709,-0.04
185710,-0.06
185711,-0.07
185712,-0.01
185801,-0.05
185802,-0.14
185803,-0.08
185804,-0.11
185805,-0.28
185806,-0.32
185807,-0.29
185808,-0.31
185809,-0.24
185810,-0.12
185811,0.05
185812,0.04
185901,0.04
185902,0.13
185903,0.13
185904,0.04
185905,0.03
185906,0.01
185907,0.07
185908,0.04
185909,0.07
185910,0.05
185911,0.01
185912,-0.05
186001,0.00
186002,-0.02
186003,-0.03
186004,-0.11
186005,-0.07
186006,-0.16
186007,-0.31
186008,-0.39
186009,-0.30
186010,-0.15
186011,-0.07
186012,-0.05
186101,-0.37
186102,-0.38
186103,-0.31
186104,-0.14
186105,-0.26
186106,-0.22
186107,-0.01
186108,0.06
186109,-0.02
186110,-0.10
186111,-0.11
186112,-0.18
186201,-0.28
186202,-0.33
186203,-0.34
186204,-0.47
186205,-0.40
186206,-0.29
186207,-0.31
186208,-0.26
186209,-0.17
186210,-0.24
186211,-0.11
186212,-0.12
186301,-0.13
186302,-0.06
186303,-0.04
186304,-0.14
186305,-0.08
186306,-0.21
186307,-0.16
186308,-0.03
186309,-0.08
186310,-0.12
186311,-0.10
186312,-0.04
186401,-0.23
186402,-0.31
186403,-0.19
186404,-0.05
186405,0.00
186406,0.08
186407,0.10
186408,0.06
186409,-0.08
186410,-0.07
186411,0.09
186412,0.22
186501,-0.01
186502,-0.04
186503,0.04
186504,-0.06
186505,-0.09
186506,0.01
186507,0.10
186508,0.14
186509,0.11
186510,0.17
186511,0.03
186512,0.04
186601,0.24
186602,0.28
186603,0.18
186604,0.07
186605,0.04
186606,0.18
186607,0.12
